naz_glowna;el_rozr;szer_geo;dlug_geo;wsp_pro_Y;wsp_pro_X;panstwo;woj;powiat;gmina
Kopiska Ma?Èe;Kopiska Ma?Èe;52??06'47'';20??29'37'';472936.30;602249.94;Polska;mazowieckie;grodziski;Baran??w-gmina wiejska
Kopki;Kopki;52??08'00'';21??22'34'';476799.02;662577.96;Polska;mazowieckie;otwocki;Wi?˘zowna-gmina wiejska
Koprki;;52??12'54'';20??44'40'';484648.99;619142.15;Polska;mazowieckie;warszawski zachodni;O??ar??w Mazowiecki-obszar wiejski
Kopyt??w;;52??12'24'';20??40'11'';483614.78;614064.23;Polska;mazowieckie;warszawski zachodni;B?Èonie-obszar wiejski
Korabie;;52??21'07'';22??11'07'';503217.87;716858.64;Polska;mazowieckie;soko?Èowski;Bielany-gmina wiejska
Korabiewice;;51??57'13'';20??25'21'';455107.08;597724.69;Polska;mazowieckie;??yrardowski;Puszcza Maria?‰ska-gmina wiejska
Korabka;;51??57'54'';20??26'03'';456388.66;598501.05;Polska;mazowieckie;??yrardowski;Puszcza Maria?‰ska-gmina wiejska
Korboniec;Korboniec;53??05'43'';20??19'02'';581914.47;588175.92;Polska;mazowieckie;m?Èawski;Wi?çniewo-gmina wiejska
Korc??wki;Korc??wki;51??59'45'';20??35'31'';460042.11;609261.81;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Korczaki;Korczaki;53??02'02'';21??32'34'';577287.73;670439.01;Polska;mazowieckie;ostro?È?÷cki;Rzeku?‰-gmina wiejska
Korczew;;52??21'15'';22??36'43'';504825.70;745890.94;Polska;mazowieckie;siedlecki;Korczew-gmina wiejska
Korczonek;;51??32'32'';20??42'37'';409797.03;618565.77;Polska;mazowieckie;przysuski;Potwor??w-gmina wiejska
Korcz??wka;Korcz??wka;52??07'47'';22??41'57'';480196.33;753102.98;Polska;mazowieckie;?Èosicki;Olszanka-gmina wiejska
Korcz??wka-Kolonia;Korcz??wka-Kolonia;52??08'28'';22??42'59'';481507.22;754207.97;Polska;mazowieckie;?Èosicki;Olszanka-gmina wiejska
Borowina;Borowina;52??07'07'';22??41'27'';478930.86;752592.40;Polska;mazowieckie;?Èosicki;Olszanka-gmina wiejska
Korczyn;Korczyn;52??56'29'';20??28'01'';564996.97;598547.93;Polska;mazowieckie;ciechanowski;Regimin-gmina wiejska
Kordon;Kordon;53??16'41'';20??53'54'';603111.41;626533.31;Polska;mazowieckie;przasnyski;Chorzele-miasto
Kordowina;Kordowina;53??07'11'';21??34'31'';586927.98;672282.53;Polska;mazowieckie;ostro?È?÷cki;Lelis-gmina wiejska
Kordowo;Kordowo;53??02'47'';21??30'36'';578627.70;668209.39;Polska;mazowieckie;ostro?È?÷cki;Olszewo-Borki-gmina wiejska
Korea;Korea;51??33'05'';21??40'38'';412827.63;685554.28;Polska;mazowieckie;kozienicki;Sieciech??w-gmina wiejska
Korfowe;;52??16'49'';20??31'24'';491566.44;603889.03;Polska;mazowieckie;warszawski zachodni;Leszno-gmina wiejska
Kornacisk;Kornacisk;52??14'55'';21??29'11'';489866.47;669682.66;Polska;mazowieckie;mi?‰ski;D?÷be Wielkie-gmina wiejska
Kornaciska;;52??46'15'';21??34'49'';548144.09;674010.91;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
Zam?Èynie;;52??46'23'';21??33'56'';548355.62;673009.42;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
??ach;;52??46'27'';21??34'23'';548497.22;673510.68;Polska;mazowieckie;wyszkowski;D?Èugosiod?Èo-gmina wiejska
Kornata;;52??19'28'';20??07'36'';495982.40;576761.58;Polska;mazowieckie;sochaczewski;M?Èodzieszyn-gmina wiejska
Kornelin;;52??10'48'';20??12'27'';480010.69;582536.35;Polska;mazowieckie;sochaczewski;Nowa Sucha-gmina wiejska
Kornel??wka;Kornel??wka;51??56'28'';20??42'43'';454145.41;617640.57;Polska;mazowieckie;gr??jecki;Pniewy-gmina wiejska
Kornica-Kolonia;Kornica-Kolonia;52??09'35'';22??58'21'';484521.62;771597.81;Polska;mazowieckie;?Èosicki;Stara Kornica-gmina wiejska
Koryciany;;52??16'28'';22??29'46'';495582.05;738430.73;Polska;mazowieckie;siedlecki;Paprotnia-gmina wiejska
Koryciniec;;52??15'24'';20??06'06'';488419.98;575172.99;Polska;mazowieckie;sochaczewski;Rybno-gmina wiejska
Koryciska;Koryciska;52??31'29'';20??33'54'';518810.01;606144.18;Polska;mazowieckie;p?Èo?‰ski;Za?Èuski-gmina wiejska
Koryciska;;51??19'57'';20??49'13'';386667.01;626770.37;Polska;mazowieckie;przysuski;Wieniawa-gmina wiejska
Koryta;Koryta;51??57'27'';20??59'38'';456460.87;636963.40;Polska;mazowieckie;piaseczy?‰ski;Pra??m??w-gmina wiejska
Korytka;;51??21'35'';21??23'18'';390827.77;666228.72;Polska;mazowieckie;radomski;G??zd-gmina wiejska
Korytnica;;52??24'53'';21??51'05'';509247.53;693856.68;Polska;mazowieckie;w?÷growski;Korytnica-gmina wiejska
Korytnica;Korytnica;51??43'11'';21??46'42'';431789.56;691844.89;Polska;mazowieckie;garwoli?‰ski;Trojan??w-gmina wiejska
Kolonia Korytnica;Korytnica;52??24'48'';21??49'50'';509037.45;692446.64;Polska;mazowieckie;w?÷growski;Korytnica-gmina wiejska
Kolonia Korytnica;Korytnica;51??43'31'';21??47'23'';432435.42;692604.03;Polska;mazowieckie;garwoli?‰ski;Trojan??w-gmina wiejska
Korytowo;Korytowo;52??35'27'';20??11'38'';525672.47;580852.47;Polska;mazowieckie;p?Èo?‰ski;Dzierz?˘??nia-gmina wiejska
Koryt??w;;52??01'23'';20??28'41'';462903.65;601384.03;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Koryt??w A;;52??02'09'';20??28'19'';464315.80;600936.09;Polska;mazowieckie;??yrardowski;Radziejowice-gmina wiejska
Korzenicha;;52??35'14'';22??13'27'';529494.66;718338.86;Polska;mazowieckie;soko?Èowski;Kos??w Lacki-obszar wiejski
Korzeni??wka;Korzeni??wka;51??59'44'';20??54'07'';460522.52;630531.11;Polska;mazowieckie;piaseczy?‰ski;Tarczyn-obszar wiejski
Korze?‰;Korze?‰;51??38'29'';20??52'46'';421095.10;630008.76;Polska;mazowieckie;bia?Èobrzeski;Wy?çmierzyce-obszar wiejski
Korze?‰ Kr??lewski;Korze?‰ Kr??lewski;52??25'43'';19??37'29'';507149.23;542470.67;Polska;mazowieckie;p?Èocki;?¸?˘ck-gmina wiejska
Korze?‰ Rz?˘dowy;Korze?‰ Rz?˘dowy;52??25'14'';19??36'15'';506243.86;541074.05;Polska;mazowieckie;p?Èocki;?¸?˘ck-gmina wiejska
Korzybie;Korzybie;53??01'44'';20??32'53'';574833.66;603787.45;Polska;mazowieckie;m?Èawski;Szyd?Èowo-gmina wiejska
Korzybie;Korzybie;52??39'14'';20??15'40'';532768.64;585282.00;Polska;mazowieckie;p?Èo?‰ski;Baboszewo-gmina wiejska
Korzybie-Reszki;Korzybie-Reszki;52??39'39'';20??14'54'';533529.67;584411.25;Polska;mazowieckie;p?Èo?‰ski;Baboszewo-gmina wiejska
Korzyce;;51??18'25'';20??49'02'';383820.87;626627.94;Polska;mazowieckie;szyd?Èowiecki;Szyd?Èowiec-obszar wiejski
Kosemin;;52??51'51'';19??53'04'';555768.77;559523.00;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Kolonia Kosemin;Kosemin;52??52'11'';19??54'31'';556403.10;561134.25;Polska;mazowieckie;sierpecki;Zawidz-gmina wiejska
Kosenice;Kosenice;52??48'26'';19??45'34'';549340.18;551177.55;Polska;mazowieckie;sierpecki;Sierpc-gmina wiejska
Kosewko;Kosewko;52??29'29'';20??42'21'';515316.16;615780.66;Polska;mazowieckie;nowodworski;Pomiech??wek-gmina wiejska
Kosewo;;53??03'30'';19??58'46'';577443.63;565621.67;Polska;mazowieckie;??uromi?‰ski;??uromin-obszar wiejski
Kosewo;Kosewo;52??35'41'';20??46'18'';526912.96;619966.52;Polska;mazowieckie;nowodworski;Nasielsk-obszar wiejski
Kosewo;Kosewo;52??54'59'';21??54'23'';565163.92;695343.96;Polska;mazowieckie;ostrowski;Stary Luboty?‰-gmina wiejska
Kosewo;Kosewo;52??28'00'';20??40'55'';512529.85;614227.86;Polska;mazowieckie;nowodworski;Pomiech??wek-gmina wiejska
Kosierady Wielkie;;52??21'54'';22??10'40'';504646.57;716284.36;Polska;mazowieckie;soko?Èowski;Soko?È??w Podlaski-gmina wiejska
Rudno-Kosi?Èy;Rudno-Kosi?Èy;53??07'32'';20??43'29'';585849.31;615380.60;Polska;mazowieckie;przasnyski;Krzynow?Èoga Ma?Èa-gmina wiejska
Kosino;Kosino;52??33'21'';19??55'52'';521522.08;563106.91;Polska;mazowieckie;p?Èocki;Radzanowo-gmina wiejska
